Title_id,Age,IMDb,Rotten_tomatoes
389,all,6.8,
390,,7.6,67%
391,18+,7.4,88%
392,,7.3,100%
393,16+,6.9,
394,16+,7.1,71%
395,18+,8.2,
396,7+,8.8,
397,,7.0,
398,,7.4,78%
399,,7.6,80%
400,7+,7.3,
401,7+,7.5,100%
402,16+,8.3,
403,16+,7.3,88%
404,7+,6.9,
405,16+,7.3,
406,7+,7.7,100%
407,16+,7.8,
408,7+,7.1,50%
409,16+,8.3,
410,16+,8.5,
411,7+,7.6,
412,7+,6.8,28%
413,18+,7.9,
414,18+,7.6,70%
415,,8.7,
416,7+,7.0,84%
417,16+,8.2,
418,7+,8.4,
419,7+,7.0,
420,18+,7.5,
421,18+,6.7,
422,,7.7,100%
423,16+,6.1,55%
424,16+,8.1,
425,16+,8.1,
426,,8.2,
427,18+,6.8,24%
428,16+,7.0,92%
429,7+,7.2,77%
430,,8.8,
431,16+,7.0,
432,16+,7.9,
433,16+,8.4,
434,7+,7.9,
435,18+,6.9,38%
436,16+,7.5,
437,16+,7.7,
438,18+,7.4,73%
439,16+,7.4,100%
440,18+,6.6,
441,18+,8.1,36%
442,16+,7.1,88%
443,18+,6.7,100%
444,18+,7.8,
445,7+,8.4,
446,18+,8.1,
447,7+,7.9,
448,all,6.3,
449,16+,7.3,
450,,7.6,
451,7+,8.4,
452,16+,6.4,86%
453,18+,8.5,
454,,7.8,
455,16+,7.4,
456,16+,7.5,
457,7+,8.9,
458,,7.9,
459,16+,6.6,32%
460,7+,7.8,
461,16+,8.8,
462,18+,7.0,40%
463,18+,7.7,
464,18+,7.5,
465,,6.6,
466,16+,6.5,47%
467,16+,7.9,
468,,8.9,
469,18+,8.2,
470,18+,7.7,64%
471,16+,7.2,54%
472,16+,7.3,54%
473,7+,6.6,
474,18+,8.3,
475,18+,6.9,
476,7+,8.5,
477,16+,8.0,
478,18+,7.6,92%
479,7+,7.9,100%
480,7+,7.7,
481,,6.3,81%
482,18+,8.1,
483,18+,7.3,100%
484,,8.5,
485,16+,7.7,
486,16+,7.4,97%
487,18+,8.2,
488,all,8.6,
489,18+,6.5,
490,all,9.0,
491,,7.7,
492,18+,7.8,
493,,7.6,50%
494,18+,8.2,
495,,7.9,100%
496,16+,6.2,
497,,7.6,
498,16+,7.3,
499,18+,7.0,68%
500,16+,7.4,58%
501,7+,5.9,58%
502,all,7.3,
503,16+,7.4,
504,16+,7.9,
505,7+,7.0,
506,18+,7.8,100%
507,18+,7.4,89%
508,18+,5.8,100%
509,18+,7.1,86%
510,18+,6.5,75%
511,16+,8.0,
512,,7.4,100%
513,18+,6.1,33%
514,7+,8.1,
515,,8.3,
516,7+,6.5,100%
517,7+,6.2,
518,,7.7,
519,7+,8.1,
520,16+,8.0,
521,16+,7.5,
522,16+,7.9,
523,16+,8.0,
524,16+,8.3,
525,,8.3,
526,16+,8.0,
527,7+,8.5,
528,16+,8.1,
529,16+,8.0,
530,18+,6.1,
531,16+,7.7,
532,16+,7.7,
533,,7.5,91%
534,,7.8,
535,7+,6.4,73%
536,18+,8.0,
537,16+,8.2,95%
538,18+,5.4,62%
539,16+,8.4,
540,,8.7,
541,18+,7.9,
542,7+,6.3,
543,all,7.7,50%
544,16+,8.1,
545,18+,7.4,
546,,7.7,100%
547,16+,8.0,
548,,8.8,
549,7+,8.6,
550,16+,6.4,80%
551,,8.3,
552,7+,8.3,
553,16+,7.6,
554,18+,7.2,35%
555,16+,7.2,
556,,4.5,38%
557,16+,8.3,
558,16+,7.7,
559,7+,8.1,
560,16+,7.4,
561,16+,7.7,
562,all,8.1,92%
563,18+,7.4,
564,7+,8.3,
565,18+,7.8,
566,18+,7.0,36%
567,,7.0,75%
568,7+,8.3,
569,7+,7.2,
570,7+,7.5,
571,,7.9,
572,16+,7.5,
573,,7.2,
574,18+,6.3,
575,16+,7.5,56%
576,18+,6.7,
577,16+,5.9,35%
578,,8.6,
579,18+,6.9,86%
580,7+,8.0,
581,,7.4,
582,16+,7.8,
583,16+,7.2,
584,18+,6.8,50%
585,7+,6.9,
586,7+,8.2,
587,18+,8.2,
588,18+,6.5,60%
589,7+,6.8,
590,all,6.9,
591,16+,7.6,
592,all,5.9,
593,18+,7.4,93%
594,,8.3,
595,16+,7.6,
596,18+,6.7,
597,18+,6.7,
598,18+,6.6,50%
599,16+,6.0,22%
600,,8.7,40%
601,16+,8.1,
602,18+,6.7,77%
603,7+,8.2,
604,16+,7.9,
605,16+,7.0,50%
606,7+,7.6,
607,16+,7.4,79%
608,18+,7.0,
609,18+,8.1,
610,,7.5,
611,16+,7.8,
612,16+,8.4,
613,,9.0,
614,18+,8.5,
615,16+,7.4,
616,,7.9,
617,,7.1,42%
618,7+,6.6,79%
619,18+,7.6,
620,18+,8.4,
621,16+,8.2,
622,,6.7,100%
623,7+,8.7,
624,16+,6.9,
625,16+,6.3,
626,18+,7.0,90%
627,,8.1,
628,7+,7.7,
629,7+,6.9,
630,16+,4.5,
631,18+,4.9,6%
632,18+,6.9,80%
633,18+,7.4,
634,18+,7.3,83%
635,,7.4,
636,,7.7,
637,7+,7.7,
638,,5.8,86%
639,16+,5.5,
640,7+,7.7,
641,7+,8.3,
642,16+,8.1,
643,18+,7.2,50%
644,16+,6.8,24%
645,16+,7.3,33%
646,16+,7.0,73%
647,,7.4,
648,16+,7.9,
649,16+,7.1,
650,18+,7.4,
651,,7.5,
652,all,7.3,
653,all,7.8,
654,7+,6.4,
655,,7.7,
656,7+,5.9,
657,16+,6.7,
658,16+,7.5,
659,18+,7.2,
660,all,8.5,
661,7+,7.5,
662,,7.8,
663,,7.7,
664,all,6.4,
665,7+,5.2,80%
666,18+,7.2,
667,18+,7.3,30%
668,18+,6.5,41%
669,18+,6.2,58%
670,,7.6,63%
671,,8.2,
672,,7.8,
673,16+,7.2,
674,16+,8.2,
675,,7.8,
676,7+,7.1,
677,16+,7.1,40%
